trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-27.602647725376983,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",25,0,-196.3078098821593,"{0: 15, 1: 1, 2: 3, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,13,12.618370515731694,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",30,0,-111.6886480449124,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",20,0,-79.38416278760663,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",30,0,-269.5335941501218,"{0: 14, 1: 2, 2: 9, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",20,0,-49.11669477798766,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-64.19960286001019,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.2107957994307797}",35,3,-81.56648412285462,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.28366218546322625}",20,0,-62.679018528173664,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-124.7792518779945,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.960170286650366}",25,0,-139.59054554133664,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",25,0,-142.11098710598026,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",35,0,-194.45134089372652,"{0: 21, 1: 8, 2: 1, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,1,-21.83901611648715,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",20,10,17.41652473680715,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",35,0,-69.65716034081788,"{0: 24, 1: 3, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",30,3,-113.08926438836771,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",25,0,-57.381908924357106,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",20,0,-61.14160521769634,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.4755369279959925}",20,0,-59.7330824049163,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.004425697988050785}",20,12,13.093937835763914,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.4833047587530059}",25,1,-57.086748960541385,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.8438539587324921}",20,0,-72.25881398031802,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9977982791785807}",30,13,-87.58716854006518,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.9074467814501962}",20,0,-154.07905784788971,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.594920663309892}",20,0,-120.35902803870972,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.1367372182078336}",25,7,-50.6786669952812,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.354924266788705}",25,14,14.163980492843848,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7596879128588213}",20,0,-119.3235915431716,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9784534628188842}",20,0,-107.97776785120564,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9576594803233847}",20,0,-170.4330147668018,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.7023970575027135}",25,0,-93.58315338892193,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.27516333805159693}",20,0,-41.25426205432406,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.2194399632114593}",25,15,20.169185267287297,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6603167082440802}",25,0,-135.72391099694184,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.939524893748256}",20,0,-166.18321402178492,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9887046181866692}",30,0,-171.64509256798013,"{0: 16, 1: 3, 2: 7, 3: 3, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.7958149698139441}",25,0,-105.22544838333222,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.40808206181339196}",20,12,-56.44117570581692,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.07956356727854007}",20,13,-26.079304204586947,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.5477292602242684}",20,9,-36.90448801313683,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.8817917275413242}",25,12,-5.281895921896875,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.9999608263946371}",20,0,-35.969388033469635,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.8733046400935156}",20,0,-208.52852843729042,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
46,False,"{'a': 0.5, 'e': 0.5328330203333975}",20,0,-36.31876364349486,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.061905293994420546}",25,15,-6.1482725156683715,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.424179007336997}",20,1,14.753520695403129,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.8064094939122546}",20,0,-99.85133366663916,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.9912028118634736}",20,0,-92.37320875909097,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.933315112063922}",25,0,-109.73644533636943,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.6469193223286404}",30,12,-9.465993578780482,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.20213512038718198}",35,21,-24.150085344963994,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.2921388087338362}",30,16,-31.57450868604139,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.7148869687796651}",25,5,-55.05225898135147,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.9626058663135666}",30,0,-187.44175460949933,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.9746452757206577}",30,7,-135.81601445948047,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 2}",1
58,False,"{'a': 0.5, 'e': 0.7480575296890003}",20,1,-88.88198420898138,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.3383192109710552}",25,11,-5.33024861451085,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.15425144988758405}",25,0,20.2920378075594,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.6090559761063562}",20,0,-52.62485949805732,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9147423578045313}",25,0,-160.06973576427993,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
